P_NAME,P_HABZONE,P_TYPE_TEMP,P_TYPE
HD 207832 c,0,Cold,Jovian
HD 20794 b,0,Hot,Terran
HD 20794 c,0,Hot,Terran
HD 20794 d,0,Hot,Terran
HD 20794 e,0,Hot,Terran
HD 208487 b,0,Hot,Jovian
HD 208527 b,0,Hot,Jovian
HD 20868 b,0,Cold,Jovian
HD 208897 b,0,Hot,Jovian
HD 209458 b,0,Hot,Jovian
HD 210193 b,0,,Jovian
HD 210277 b,2,Warm,Jovian
HD 210702 b,0,Hot,Jovian
HD 211810 b,0,Cold,Jovian
HD 211970 b,0,,Neptunian
HD 212301 b,0,Hot,Jovian
HD 212771 b,0,Hot,Jovian
HD 213240 b,2,Warm,Jovian
HD 21411 b,0,,Jovian
HD 214823 b,2,Warm,Jovian
HD 215152 b,0,Hot,Terran
HD 215152 c,0,Hot,Terran
HD 215152 d,0,Hot,Terran
HD 215152 e,0,Hot,Terran
HD 215497 b,0,Hot,Superterran
HD 215497 c,0,Cold,Jovian
HD 216435 b,2,Warm,Jovian
HD 216437 b,1,Warm,Jovian
HD 216536 b,0,Hot,Jovian
HD 216770 b,0,Hot,Jovian
HD 21693 b,0,Hot,Superterran
HD 21693 c,0,Hot,Neptunian
HD 217107 b,0,Hot,Jovian
HD 217107 c,0,Cold,Jovian
HD 21749 c,0,Hot,Terran
HD 217786 b,0,Cold,Jovian
HD 217850 b,0,Cold,Jovian
HD 218566 b,2,Warm,Jovian
HD 219077 b,0,Cold,Jovian
HD 219134 b,0,Hot,Superterran
HD 219134 c,0,Hot,Superterran
HD 219134 d,0,Hot,Neptunian
HD 219134 f,0,Hot,Superterran
HD 219134 g,0,Hot,Neptunian
HD 219134 h,0,Cold,Jovian
HD 219415 b,2,Warm,Jovian
HD 219666 b,0,Hot,Neptunian
HD 219828 b,0,Hot,Neptunian
HD 219828 c,0,Cold,Jovian
HD 220074 b,0,Hot,Jovian
HD 220689 b,0,Cold,Jovian
HD 220773 b,0,Cold,Jovian
HD 220842 b,0,Hot,Jovian
HD 221287 b,2,Warm,Jovian
HD 221416 b,0,Hot,Jovian
HD 221420 b,0,Cold,Jovian
HD 221585 b,2,Warm,Jovian
HD 222076 b,0,Hot,Jovian
HD 222155 b,0,Cold,Jovian
HD 222582 b,2,Warm,Jovian
HD 224538 b,2,Warm,Jovian
HD 224693 b,0,Hot,Jovian
HD 22781 b,0,Cold,Jovian
HD 23079 b,2,Warm,Jovian
HD 23127 b,2,Warm,Jovian
HD 231701 b,0,Hot,Jovian
HD 233604 b,0,Hot,Jovian
HD 23472 b,0,,Neptunian
HD 23472 c,0,,Neptunian
HD 23596 b,1,Warm,Jovian
HD 238914 b,0,Hot,Jovian
HD 240210 b,0,Hot,Jovian
HD 240237 b,0,Hot,Jovian
HD 24040 b,0,Cold,Jovian
HD 24064 b,0,Hot,Jovian
HD 24085 b,0,,Neptunian
HD 25015 b,0,Cold,Jovian
HD 25171 b,0,Cold,Jovian
HD 2638 b,0,Hot,Jovian
HD 2685 b,0,Hot,Jovian
HD 26965 b,0,Hot,Superterran
HD 27442 b,0,Hot,Jovian
HD 27631 b,0,Cold,Jovian
HD 27894 b,0,,Jovian
HD 27894 c,0,,Jovian
HD 27894 d,0,,Jovian
HD 28185 b,2,Warm,Jovian
HD 28254 b,2,Warm,Jovian
HD 285507 b,0,Hot,Jovian
HD 285968 b,0,Hot,Superterran
HD 28678 b,0,Hot,Jovian
HD 29021 b,0,Cold,Jovian
HD 290327 b,0,Cold,Jovian
HD 2952 b,0,Hot,Jovian
HD 30177 b,0,Cold,Jovian
HD 30177 c,0,Cold,Jovian
HD 30562 b,2,Warm,Jovian
HD 30669 b,0,Cold,Jovian
HD 30856 b,0,Hot,Jovian
HD 31253 b,0,Hot,Jovian
